="",="(1)",="",="",="",="",=""
="",="",="",="",="",="",=""
="",="mu_1",="mu_2",="b",="se",="N_1",="N_2"
="st_female1",="0.77",="0.76",="0.01",="0.04",="266",="273"
="st_age1",="12.61",="12.37",="0.24",="0.16",="196",="203"
="ses_index",="-0.17",="0.03",="-0.19",="0.14",="266",="273"
="d_sch_grade4",="0.01",="0.01",="-0.00",="0.01",="258",="269"
="d_sch_grade5",="0.01",="0.02",="-0.01",="0.01",="258",="269"
="d_sch_grade6",="0.28",="0.30",="-0.02",="0.04",="258",="269"
="d_sch_grade7",="0.26",="0.26",="-0.00",="0.04",="258",="269"
="d_sch_grade8",="0.30",="0.28",="0.02",="0.04",="258",="269"
="d_sch_grade9",="0.14",="0.12",="0.02",="0.03",="258",="269"
="m_theta_mle",="-0.03",="-0.00",="-0.03",="0.09",="265",="272"
="h_theta_mle",="0.05",="-0.07",="0.12",="0.08",="266",="273"
="N",="539",="",="",="",="",=""
