		(1)	(2)	(3)	(4)	(5)
VARIABLES	LABELS	math_	hindi_	english_	science_	soc_sci_
						
post	post	0.019	0.018	0.026	0.018	0.014
		(0.011)	(0.0096)	(0.0098)	(0.0080)	(0.0071)
post_treat	post_treat	0.013	-0.010	-0.0039	0.0017	-0.0056
		(0.016)	(0.012)	(0.013)	(0.012)	(0.0086)
Constant	Constant	0.21	0.13	0.18	0.14	0.098
		(0.0053)	(0.0040)	(0.0044)	(0.0041)	(0.0029)
						
Observations		3,735	3,735	3,735	3,735	3,735
R-squared		0.009	0.004	0.010	0.007	0.005
Number of id		415	415	415	415	415
Robust standard errors in parentheses						
